"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"0.12",1,0.752,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"10/-1"
"0.12",1,0.319,3,4,2.26,2.4,1.0319345371141,"10/-1"
"0.12",1,0.864,1,2.5,1.35,1,0.579750904364203,"10/-1"
"0.12",1,0.283,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"10/-1"
"0.12",1,0.997,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"10/-1"
"0.12",1,0.042,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"10/-1"
"0.12",1,0.601,3,2.9,1.644,1,0.847626752238928,"10/-1"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"10/-1"
"0.12",1,0.345,2,2.25,0.87468112244898,1,1.01154137052087,"10/-1"
"0.12",1,0.305,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"10/-1"
"0.12",1,0.274,4,3.8,2.14,2,1.13548814759703,"10/-1"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"10/-1"
"0.12",1,0.146,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"10/-1"
"0.12",1,0.633,2,2.2,1.42,1,0.545282801244761,"10/-1"
"0.12",1,0.922,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"10/-1"
"0.12",1,0.59,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"10/-5"
"0.12",1,0.461,3,4,2.26,2.4,1.0319345371141,"10/-5"
"0.12",1,0.662,1,2.5,1.35,1,0.579750904364203,"10/-5"
"0.12",1,0.433,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"10/-5"
"0.12",1,0.991,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"10/-5"
"0.12",1,0.265,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"10/-5"
"0.12",1,0.393,3,2.9,1.644,1,0.847626752238928,"10/-5"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"10/-5"
"0.12",1,0.452,2,2.25,0.87468112244898,1,1.01154137052087,"10/-5"
"0.12",1,0.371,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"10/-5"
"0.12",1,0.633,4,3.8,2.14,2,1.13548814759703,"10/-5"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"10/-5"
"0.12",1,0.288,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"10/-5"
"0.12",1,0.446,2,2.2,1.42,1,0.545282801244761,"10/-5"
"0.12",1,0.762,1,2.33333333333333,1.51666666666667,1.41666666666667,0.558049955726563,"10/-5"
"0.12",1,0.499,3,4.27777777777778,1.86666666666667,1,1.24176298408431,"10/-10"
"0.12",1,0.342,3,4,2.26,2.4,1.0319345371141,"10/-10"
"0.12",1,0.535,1,2.5,1.35,1,0.579750904364203,"10/-10"
"0.12",1,0.334,3,2.57777777777778,1.56333333333333,1.25,0.648831973188351,"10/-10"
"0.12",1,0.979,2,2.14285714285714,1.51428571428571,1.5,0.543775330423627,"10/-10"
"0.12",1,0.218,4,5.85714285714285,3.63857142857143,4.25,1.94258926724732,"10/-10"
"0.12",1,0.204,3,2.9,1.644,1,0.847626752238928,"10/-10"
"0.12",1,1,2,3,1.36666666666667,1,0.674948557710553,"10/-10"
"0.12",1,0.319,2,2.25,0.87468112244898,1,1.01154137052087,"10/-10"
"0.12",1,0.299,3,2.66666666666667,1.63333333333334,1.5,0.697437992287789,"10/-10"
"0.12",1,0.622,4,3.8,2.14,2,1.13548814759703,"10/-10"
"0.12",1,1,2,2.5,1.35,1,0.579750904364203,"10/-10"
"0.12",1,0.22,5,22.448275862069,18.4793103448276,20.2931034482759,6.44247387879483,"10/-10"
"0.12",1,0.306,2,2.2,1.42,1,0.545282801244761,"10/-10"
