"C","mxch","qss","diam","maxtl","meantl","medtl","sdtl","par"
"12",1,0.371,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"10/-1"
"12",1,0.348,2,3,2.11666666666667,2,0.711675123551106,"10/-1"
"12",1,0.44,3,3.25,2.225,2,0.820314980154981,"10/-1"
"12",1,0.638,3,4,2.36666666666667,2.25,0.977525219907679,"10/-1"
"12",1,0.375,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"10/-1"
"12",1,0.465,3,3.5,2.35,2.25,0.906764700582363,"10/-1"
"12",1,0.292,3,2.87500000000001,1.9625,2,0.731365731582589,"10/-1"
"12",1,0.221,2,3.5,2.05,2,0.895978670381042,"10/-1"
"12",1,0.3,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"10/-1"
"12",1,0.367,3,4,2.31666666666666,2.25,0.924461805392537,"10/-1"
"12",1,0.435,4,5.5,3.3,3.25,1.3984117975602,"10/-1"
"12",1,0.311,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"10/-1"
"12",1,0.204,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"10/-1"
"12",1,0.217,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"10/-1"
"12",1,0.512,3,3.5,1.83333333333333,2,0.838870492807862,"10/-1"
"12",1,0.158,3,4,2.66666666666667,3,1.12216721537356,"10/-1"
"12",1,0.439,2,3,1.93333333333333,2,0.712325352214427,"10/-1"
"12",1,0.22,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"10/-1"
"12",1,0.805,3,4,2.5,2.5,0.849836585598798,"10/-1"
"12",1,0.204,2,3.5,2.1625,2.25,0.920541054670205,"10/-1"
"12",1,0.201,4,4,2.15,2,1.15590272562665,"10/-1"
"12",1,0.283,3,3.25,1.98333333333333,2,0.815361769286992,"10/-1"
"12",1,0.395,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"10/-1"
"12",1,0.285,4,5,2.7,2.5,1.33749350984926,"10/-1"
"12",1,0.424,2,3,2,2,0.816496580927724,"10/-1"
"12",1,0.231,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"10/-5"
"12",1,0.328,2,3,2.11666666666667,2,0.711675123551106,"10/-5"
"12",1,0.373,3,3.25,2.225,2,0.820314980154981,"10/-5"
"12",1,0.52,3,4,2.36666666666667,2.25,0.977525219907679,"10/-5"
"12",1,0.291,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"10/-5"
"12",1,0.328,3,3.5,2.35,2.25,0.906764700582363,"10/-5"
"12",1,0.331,3,2.87500000000001,1.9625,2,0.731365731582589,"10/-5"
"12",1,0.254,2,3.5,2.05,2,0.895978670381042,"10/-5"
"12",1,0.456,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"10/-5"
"12",1,0.33,3,4,2.31666666666666,2.25,0.924461805392537,"10/-5"
"12",1,0.32,4,5.5,3.3,3.25,1.3984117975602,"10/-5"
"12",1,0.213,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"10/-5"
"12",1,0.295,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"10/-5"
"12",1,0.325,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"10/-5"
"12",1,0.419,3,3.5,1.83333333333333,2,0.838870492807862,"10/-5"
"12",1,0.209,3,4,2.66666666666667,3,1.12216721537356,"10/-5"
"12",1,0.302,2,3,1.93333333333333,2,0.712325352214427,"10/-5"
"12",1,0.315,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"10/-5"
"12",1,0.599,3,4,2.5,2.5,0.849836585598798,"10/-5"
"12",1,0.346,2,3.5,2.1625,2.25,0.920541054670205,"10/-5"
"12",1,0.323,4,4,2.15,2,1.15590272562665,"10/-5"
"12",1,0.28,3,3.25,1.98333333333333,2,0.815361769286992,"10/-5"
"12",1,0.345,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"10/-5"
"12",1,0.354,4,5,2.7,2.5,1.33749350984926,"10/-5"
"12",1,0.413,2,3,2,2,0.816496580927724,"10/-5"
"12",1,0.169,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"10/-10"
"12",1,0.25,2,3,2.11666666666667,2,0.711675123551106,"10/-10"
"12",1,0.29,3,3.25,2.225,2,0.820314980154981,"10/-10"
"12",1,0.394,3,4,2.36666666666667,2.25,0.977525219907679,"10/-10"
"12",1,0.207,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"10/-10"
"12",1,0.224,3,3.5,2.35,2.25,0.906764700582363,"10/-10"
"12",1,0.249,3,2.87500000000001,1.9625,2,0.731365731582589,"10/-10"
"12",1,0.177,2,3.5,2.05,2,0.895978670381042,"10/-10"
"12",1,0.421,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"10/-10"
"12",1,0.227,3,4,2.31666666666666,2.25,0.924461805392537,"10/-10"
"12",1,0.229,4,5.5,3.3,3.25,1.3984117975602,"10/-10"
"12",1,0.153,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"10/-10"
"12",1,0.245,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"10/-10"
"12",1,0.272,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"10/-10"
"12",1,0.324,3,3.5,1.83333333333333,2,0.838870492807862,"10/-10"
"12",1,0.153,3,4,2.66666666666667,3,1.12216721537356,"10/-10"
"12",1,0.223,2,3,1.93333333333333,2,0.712325352214427,"10/-10"
"12",1,0.274,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"10/-10"
"12",1,0.552,3,4,2.5,2.5,0.849836585598798,"10/-10"
"12",1,0.241,2,3.5,2.1625,2.25,0.920541054670205,"10/-10"
"12",1,0.247,4,4,2.15,2,1.15590272562665,"10/-10"
"12",1,0.254,3,3.25,1.98333333333333,2,0.815361769286992,"10/-10"
"12",1,0.234,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"10/-10"
"12",1,0.261,4,5,2.7,2.5,1.33749350984926,"10/-10"
"12",1,0.268,2,3,2,2,0.816496580927724,"10/-10"
"12",1,0.616,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"5/-1"
"12",1,0.585,2,3,2.11666666666667,2,0.711675123551106,"5/-1"
"12",1,0.773,3,3.25,2.225,2,0.820314980154981,"5/-1"
"12",1,0.831,3,4,2.36666666666667,2.25,0.977525219907679,"5/-1"
"12",1,0.654,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"5/-1"
"12",1,0.724,3,3.5,2.35,2.25,0.906764700582363,"5/-1"
"12",1,0.623,3,2.87500000000001,1.9625,2,0.731365731582589,"5/-1"
"12",1,0.549,2,3.5,2.05,2,0.895978670381042,"5/-1"
"12",1,0.623,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"5/-1"
"12",1,0.646,3,4,2.31666666666666,2.25,0.924461805392537,"5/-1"
"12",1,0.741,4,5.5,3.3,3.25,1.3984117975602,"5/-1"
"12",1,0.622,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"5/-1"
"12",1,0.555,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"5/-1"
"12",1,0.474,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"5/-1"
"12",1,0.81,3,3.5,1.83333333333333,2,0.838870492807862,"5/-1"
"12",1,0.431,3,4,2.66666666666667,3,1.12216721537356,"5/-1"
"12",1,0.729,2,3,1.93333333333333,2,0.712325352214427,"5/-1"
"12",1,0.56,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"5/-1"
"12",1,0.888,3,4,2.5,2.5,0.849836585598798,"5/-1"
"12",1,0.514,2,3.5,2.1625,2.25,0.920541054670205,"5/-1"
"12",1,0.506,4,4,2.15,2,1.15590272562665,"5/-1"
"12",1,0.6,3,3.25,1.98333333333333,2,0.815361769286992,"5/-1"
"12",1,0.731,3,4.33333333333333,2.68333333333333,3,1.15590272562665,"5/-1"
"12",1,0.607,4,5,2.7,2.5,1.33749350984926,"5/-1"
"12",1,0.7,2,3,2,2,0.816496580927724,"5/-1"
"12",1,0.367,2,2.58333333333334,1.51666666666667,1,0.681320431855819,"5/-5"
"12",1,0.513,2,3,2.11666666666667,2,0.711675123551106,"5/-5"
"12",1,0.57,3,3.25,2.225,2,0.820314980154981,"5/-5"
"12",1,0.639,3,4,2.36666666666667,2.25,0.977525219907679,"5/-5"
"12",1,0.499,2,3.66666666666667,2.41666666666667,2.5,0.930451901358013,"5/-5"
"12",1,0.455,3,3.5,2.35,2.25,0.906764700582363,"5/-5"
"12",1,0.586,3,2.87500000000001,1.9625,2,0.731365731582589,"5/-5"
"12",1,0.438,2,3.5,2.05,2,0.895978670381042,"5/-5"
"12",1,0.629,3,3.00000000000001,2.15,2.00000000000001,0.747217059048663,"5/-5"
"12",1,0.48,3,4,2.31666666666666,2.25,0.924461805392537,"5/-5"
"12",1,0.512,4,5.5,3.3,3.25,1.3984117975602,"5/-5"
"12",1,0.34,3,3.38888888888889,2.08333333333333,2,0.90390480458265,"5/-5"
"12",1,0.565,4,3.33333333333333,2.11666666666667,2,0.909653305277603,"5/-5"
"12",1,0.52,3,2.92592592592593,1.8037037037037,2,0.75924420340387,"5/-5"
"12",1,0.639,3,3.5,1.83333333333333,2,0.838870492807862,"5/-5"
"12",1,0.425,3,4,2.66666666666667,3,1.12216721537356,"5/-5"
"12",1,0.469,2,3,1.93333333333333,2,0.712325352214427,"5/-5"
"12",1,0.546,3,3.33333333333333,2.04166666666667,2.16666666666667,0.975984782820047,"5/-5"
"12",1,0.669,3,4,2.5,2.5,0.849836585598798,"5/-5"
"12",1,0.516,2,3.5,2.1625,2.25,0.920541054670205,"5/-5"
"12",1,0.529,4,4,2.15,2,1.15590272562665,"5/-5"
"12",1,0.491,3,3.25,1.98333333333333,2,0.815361769286992,"5/-5"
