"","mxch","qss","diam","maxtl","meantl","medtl","sdtl","ints","pars"
"1",1,0.465,2,2.75,1.84166666666667,2,0.646034914777143,"12","10/-1"
"2",1,0.129,2,3,2.05,2,0.83166499665831,"12","10/-1"
"3",1,0.558,2,2.66666666666667,1.71666666666667,2,0.65757692128557,"12","10/-1"
"4",1,0.273,4,3.5,2.3125,2.5,1.00907341985936,"12","10/-1"
"5",1,0.421,3,3.5,2.15,2.16666666666667,0.927794411028544,"12","10/-1"
"6",1,0.454,3,3.875,2.0125,2,1.01798070817782,"12","10/-1"
"7",1,0.166,4,5,2.75,2.5,1.35912553585834,"12","10/-1"
"8",1,0.241,3,5,3.45,3.75,1.23490890352285,"12","10/-1"
"9",1,0.392,3,4,2.33333333333333,2.33333333333333,0.929622251704528,"12","10/-1"
"10",1,0.416,3,3.33333333333333,2.13333333333333,2,0.918936583472682,"12","10/-1"
"11",2,0.213,3,4,2.56666666666667,2.75,1.05760035860363,"12","10/-1"
"12",2,0.214,2,2.625,1.7625,2,0.693346354044403,"12","10/-1"
"13",2,0.138,2,3.5,2.24,2.25,0.993534655213955,"12","10/-1"
"14",2,0.153,3,4.00000000000001,2.23333333333334,2,1.06631938791201,"12","10/-1"
"15",2,0.33,2,3.5,1.91,2,0.914634110207768,"12","10/-1"
"16",2,0.188,4,4.66666666666666,2.6,2.66666666666666,1.3268360212025,"12","10/-1"
"17",2,0.32,3,4.5,2.475,2.5,1.07011162449947,"12","10/-1"
"18",2,0.291,3,3.22222222222222,2.18888888888889,2.33333333333333,0.91781633853169,"12","10/-1"
"19",2,0.217,3,3.99999999999999,2.71666666666666,2.99999999999999,0.936403679964924,"12","10/-1"
"20",2,0.3,2,4,2.125,2,1.15018114515352,"12","10/-1"
"21",3,0.086,3,4.49999999999999,2.65,2.75,1.17968922461242,"12","10/-1"
"22",3,0.186,4,5,3.36666666666666,3.5,1.22171706732475,"12","10/-1"
"23",3,0.466,3,4.50000000000001,3.07500000000001,3.25000000000001,1.11834451062472,"12","10/-1"
"24",3,0.205,4,4.16666666666667,2.91666666666667,3.25,1.18699225662342,"12","10/-1"
"25",3,0.075,3,4,2.45,2.5,1.01242283656583,"12","10/-1"
"26",3,0.239,3,4,2.53333333333333,2.5,0.877707451472512,"12","10/-1"
"27",3,0.265,3,4.25,2.3,2.5,1.07238052947636,"12","10/-1"
"28",3,0.464,3,4.25,2.8875,3.125,1.0007809450624,"12","10/-1"
"29",3,0.228,3,4,2.33333333333333,2.16666666666667,0.942809041582063,"12","10/-1"
"30",3,0.527,4,5,2.96666666666666,3.33333333333333,1.39177477956637,"12","10/-1"
"31",4,0.153,4,5.75,3.65,3.75,1.44913767461894,"12","10/-1"
"32",4,0.203,4,5,3.25000000000001,3.25000000000001,1.13651514141549,"12","10/-1"
"33",4,0.319,3,5,2.83333333333334,2.75,1.34025978686831,"12","10/-1"
"34",4,0.234,4,5.49999999999999,3.29999999999999,3.49999999999999,1.6532795690183,"12","10/-1"
"35",4,0.264,3,4.5,2.725,2.75,1.23855875023262,"12","10/-1"
"36",4,0.157,4,4.75,2.44166666666667,2.625,1.24229104361137,"12","10/-1"
"37",4,0.119,4,5,3.3,4,1.47781954828184,"12","10/-1"
"38",4,0.211,3,4.5,3,3.25,1.26929551764398,"12","10/-1"
"39",4,0.257,2,3.5,2.18333333333333,2,0.982721090005062,"12","10/-1"
"40",4,0.069,5,6,3.85,4,1.59947908186801,"12","10/-1"
"41",5,0.112,4,5,3.5,3.5,1.35400640077266,"12","10/-1"
"42",5,0.071,5,6,3.75,3.5,1.62018517460196,"12","10/-1"
"43",5,0.127,4,5.25,3.15,3.25,1.30809445802324,"12","10/-1"
"44",5,0.199,3,5,2.85,2.75,1.37537873571852,"12","10/-1"
"45",5,0.085,4,5.49999999999999,3.11666666666666,2.75,1.70157878758827,"12","10/-1"
"46",5,0.119,4,4.5,3.3,3.5,1.11055541659718,"12","10/-1"
"47",5,0.209,5,5.99999999999998,3.61666666666666,4.24999999999999,1.77090686121859,"12","10/-1"
"48",5,0.379,5,6,4.16666666666666,4.49999999999999,1.71593835683117,"12","10/-1"
"49",5,0.18,3,4.5,2.93333333333333,3.08333333333334,1.07209268071813,"12","10/-1"
"50",5,0.161,4,5.50000000000001,3.70000000000001,4.00000000000001,1.43759057685652,"12","10/-1"
"51",6,0.086,6,7.00000000000001,4.61666666666666,4.74999999999999,2.12284749369367,"12","10/-1"
"52",6,0.165,5,6.49999999999998,3.82499999999999,3.74999999999999,1.72421479713714,"12","10/-1"
"53",6,0.083,4,5.00000000000001,3.5,4,1.43372087784044,"12","10/-1"
"54",6,0.096,5,5.99999999999999,3.9,4.49999999999999,1.79195734076208,"12","10/-1"
"55",6,0.1,6,7,4.375,4.375,2.00433557846762,"12","10/-1"
"56",6,0.179,4,4.75,3.075,3.25,1.35426281709932,"12","10/-1"
"57",6,0.073,5,5.00000000000001,3.8,4,1.3984117975602,"12","10/-1"
"58",6,0.12,5,6,3.9,4.5,1.59513148186739,"12","10/-1"
"59",6,0.066,6,7.5,4.375,4.25,2.08583183513064,"12","10/-1"
"60",6,0.252,4,6,3.5,3.5,1.56347191994115,"12","10/-1"
"61",7,0.076,4,5.75,3.875,4.125,1.49187614916401,"12","10/-1"
"62",7,0.094,6,6.99999999999999,4.19999999999999,4.49999999999999,1.93218356615859,"12","10/-1"
"63",7,0.17,5,6.5,4.2,4.25,1.81352940116473,"12","10/-1"
"64",7,0.049,5,6.66666666666666,4.18333333333333,4.33333333333333,1.7958284996068,"12","10/-1"
"65",7,0.054,5,7,4.2,4.5,1.81352940116473,"12","10/-1"
"66",7,0.026,6,7.5,4.63333333333333,5.24999999999999,2.08433309344846,"12","10/-1"
"67",7,0.152,4,6.25,4.275,4.99999999999999,1.74980157605243,"12","10/-1"
"68",7,0.029,6,7,4.48333333333333,4.91666666666666,1.96803154145155,"12","10/-1"
"69",7,0.133,5,6.83333333333334,4.13333333333333,4.25,1.81862789140808,"12","10/-1"
"70",7,0.103,4,5,3.25,3.75,1.47667042888911,"12","10/-1"
"71",8,0.027,7,5.50000000000002,3.46250000000001,3.81250000000001,1.51846276433328,"12","10/-1"
"72",8,0.092,6,6,3.8,3.5,1.68654808542313,"12","10/-1"
"73",8,0.067,6,7.00000000000001,4.10000000000001,4.50000000000001,1.85292561462497,"12","10/-1"
"74",8,0.07,5,6.12499999999998,3.62499999999999,3.62499999999999,1.5545631755148,"12","10/-1"
"75",8,0.139,5,6.49999999999999,4.34999999999999,4.99999999999999,1.82650242570633,"12","10/-1"
"76",8,0.053,8,8.99999999999999,5.14999999999999,5.49999999999999,2.62519840520039,"12","10/-1"
"77",8,0.061,5,6,4.29999999999999,4.99999999999999,1.76698110409314,"12","10/-1"
"78",8,0.079,6,7.00000000000001,3.96666666666668,3.50000000000001,2.11081869319834,"12","10/-1"
"79",8,0.039,7,8.49999999999999,4.75,4.75,2.37170824512629,"12","10/-1"
"80",8,0.073,5,5.83333333333334,4.05000000000001,4.33333333333334,1.64813774445322,"12","10/-1"
"81",9,0.067,5,6.875,4.3375,4.6875,1.85503256934571,"12","10/-1"
"82",9,0.061,6,6.12500000000001,4.30000000000001,5.06250000000001,1.75416171812445,"12","10/-1"
"83",9,0.112,5,7.16666666666667,4.5,5.08333333333334,1.96732568995842,"12","10/-1"
"84",9,0.028,5,5.75,4,4.37500000000001,1.55902391115581,"12","10/-1"
"85",9,0.2,6,8.16666666666667,4.41666666666667,4.08333333333334,2.26520922643057,"12","10/-1"
"86",9,0.097,4,6.5,4.3,4.49999999999999,1.84390889145858,"12","10/-1"
"87",9,0.037,6,5.99999999999999,4.09999999999999,4.74999999999999,1.61245154965971,"12","10/-1"
"88",9,0.018,6,6.49999999999998,4.22499999999999,4.49999999999999,1.78126827476005,"12","10/-1"
"89",9,0.049,5,7,4.6,5.25,2.02484567313166,"12","10/-1"
"90",9,0.012,7,8.50000000000001,4.96666666666667,5.5,2.42899156029823,"12","10/-1"
"91",1,0.69,2,2.77777777777778,1.61111111111111,1.5,0.683431188416516,"12","5/-1"
"92",1,0.76,2,3.33333333333333,2.26666666666667,2.16666666666667,0.828504528102545,"12","5/-1"
"93",1,0.593,3,3.5,2.3,2.25,0.856348838577676,"12","5/-1"
"94",1,0.796,3,3.16666666666667,1.99166666666667,2,0.776238556306175,"12","5/-1"
"95",1,0.677,3,3.33333333333333,2,2,0.805076485899413,"12","5/-1"
"96",1,0.508,3,3,2.1,2.25,0.834998336658357,"12","5/-1"
"97",1,0.801,3,3.5,2.18333333333333,2,0.862275198830698,"12","5/-1"
"98",1,0.719,2,3.5,2.40833333333334,2.625,0.892743378995746,"12","5/-1"
"99",1,0.44,2,3.5,2.25,2,0.857969178415583,"12","5/-1"
"100",1,0.506,4,4,2.41111111111111,2.5,1.16657847991219,"12","5/-1"
"101",2,0.557,4,5,2.9,3,1.3703203194063,"12","5/-1"
"102",2,0.603,3,4,2.11666666666667,2,0.975154308776785,"12","5/-1"
"103",2,0.648,2,3,1.93333333333333,2,0.712325352214427,"12","5/-1"
"104",2,0.534,3,2.75,1.80833333333333,2,0.730772042279791,"12","5/-1"
"105",2,0.47,3,4,2.65,3,0.883490552046571,"12","5/-1"
"106",2,0.62,4,5.25,3.075,3.25,1.5368166954961,"12","5/-1"
"107",2,0.569,2,3,2,2,0.816496580927726,"12","5/-1"
"108",2,0.537,3,4,2.25,2.25,1.03413947049924,"12","5/-1"
"109",2,0.61,2,3.5,2.23333333333333,2.16666666666667,0.821020142307163,"12","5/-1"
"110",2,0.557,4,4,2.15,2,1.15590272562665,"12","5/-1"
"111",3,0.374,4,5,3.6,3.83333333333333,1.33148019368402,"12","5/-1"
"112",3,0.738,3,4.00000000000001,3,3,1.05409255338945,"12","5/-1"
"113",3,0.781,2,3.5,1.93333333333333,2,0.906764700582362,"12","5/-1"
"114",3,0.531,3,3.5,2.26666666666667,2.33333333333333,1.01288001556252,"12","5/-1"
"115",3,0.24,4,3.75,2.58125,2.75,1.04998759913312,"12","5/-1"
"116",3,0.492,4,4.00000000000001,2.53333333333333,2.91666666666667,1.20646407139026,"12","5/-1"
"117",3,0.433,5,4.5,3.125,3.25,1.15018114515352,"12","5/-1"
"118",3,0.624,4,5,3.4,3.99999999999999,1.32916013582512,"12","5/-1"
"119",3,0.588,5,6.49999999999998,3.94999999999999,4,1.623610517061,"12","5/-1"
"120",3,0.465,4,4.49999999999999,2.83333333333333,2.99999999999999,1.2909944487358,"12","5/-1"
"121",4,0.424,3,4.00000000000001,2.73333333333334,3,1.17378779077727,"12","5/-1"
"122",4,0.334,5,4.75000000000002,3.11250000000001,3.37500000000001,1.36225150639178,"12","5/-1"
"123",4,0.434,4,5,3.68333333333333,3.91666666666666,1.34818121652565,"12","5/-1"
"124",4,0.706,4,5.16666666666666,3.26666666666666,3.49999999999999,1.60669893927938,"12","5/-1"
"125",4,0.647,5,4.24999999999999,2.8375,3.09375,1.20300549550791,"12","5/-1"
"126",4,0.471,4,4.5,2.9,3,1.22020034784821,"12","5/-1"
"127",4,0.212,2,3.41666666666666,2.06666666666667,2,0.865847190920366,"12","5/-1"
"128",4,0.479,5,6.25,3.4375,3.25,1.59126303782736,"12","5/-1"
"129",4,0.351,5,5.99999999999999,3.38333333333333,3.41666666666666,1.69612848919292,"12","5/-1"
"130",4,0.396,4,4.99999999999999,3.15,3.5,1.33437459341654,"12","5/-1"
"131",5,0.398,6,7.00000000000002,4.00000000000001,4,2,"12","5/-1"
"132",5,0.466,4,4.75,3.3,3.625,1.27366487830285,"12","5/-1"
"133",5,0.412,5,6.00000000000001,3.40000000000001,3.25000000000001,1.59513148186739,"12","5/-1"
"134",5,0.227,5,5.5,3.18333333333332,3.04166666666666,1.54500389547634,"12","5/-1"
"135",5,0.538,4,6,3.85,4.00000000000001,1.49164338901763,"12","5/-1"
"136",5,0.359,5,6,4.025,4.125,1.61782604476226,"12","5/-1"
"137",5,0.351,6,5.75,3.7625,4.125,1.51663232561854,"12","5/-1"
"138",5,0.427,4,5,3.075,3,1.47219601653826,"12","5/-1"
"139",5,0.567,5,6,4.15,4.74999999999999,1.65075740192192,"12","5/-1"
"140",5,0.326,4,5,3.55,3.91666666666666,1.31009847900505,"12","5/-1"
"141",6,0.44,4,5.5,3.3125,3.5,1.59126303782736,"12","5/-1"
"142",6,0.332,5,5.99999999999999,3.45,3.49999999999999,1.46154408455958,"12","5/-1"
"143",6,0.448,5,6.74999999999999,4.09999999999999,4.49999999999999,1.81888244076777,"12","5/-1"
